,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
9332,2017-12-14,172.399993896484,173.130004882813,171.649993896484,172.220001220703,166.765289306641,20476500,166.755800476074,154.234099884033,172.270004272461,-0.0500030517578125,-0.000290259769650469,23818400,-3341900,-0.140307493366473
9333,2017-12-15,173.630004882813,174.169998168945,172.460006713867,173.970001220703,168.459869384766,40169300,167.127400512695,154.40504989624,172.220001220703,1.75,0.0101614213656713,20476500,19692800,0.961726857617269
9334,2017-12-18,174.880004882813,177.199996948242,174.860000610352,176.419998168945,170.832275390625,29421100,167.549800415039,154.590449905396,173.970001220703,2.44999694824219,0.0140828702135494,40169300,-10748200,-0.267572499396305
9335,2017-12-19,175.029998779297,175.389999389648,174.089996337891,174.539993286133,169.011779785156,27436400,167.923800354004,154.765549850464,176.419998168945,-1.8800048828125,-0.0106564159524146,29421100,-1984700,-0.0674583887074243
9336,2017-12-20,174.869995117188,175.419998168945,173.25,174.350006103516,168.827819824219,23475600,168.292800598145,154.942299880981,174.539993286133,-0.189987182617188,-0.00108850229130997,27436400,-3960800,-0.144362963070957
9337,2017-12-21,174.169998168945,176.020004272461,174.100006103516,175.009994506836,169.466918945313,20949900,168.662000427246,155.123949890137,174.350006103516,0.659988403320313,0.00378542231268097,23475600,-2525700,-0.107588304452282
9338,2017-12-22,174.679992675781,175.419998168945,174.5,175.009994506836,169.466918945313,16349400,169.042200317383,155.303299865723,175.009994506836,0,0,20949900,-4600500,-0.219595320264059
9339,2017-12-26,170.800003051758,171.470001220703,169.679992675781,170.570007324219,165.167572021484,33185500,169.313800354004,155.460149917603,175.009994506836,-4.43998718261719,-0.0253699064166519,16349400,16836100,1.02976867652636
9340,2017-12-27,170.100006103516,170.779998779297,169.710006713867,170.600006103516,165.196624755859,21498200,169.528200378418,155.618199920654,170.570007324219,0.029998779296875,0.000175873705861251,33185500,-11687300,-0.352180922390803
9341,2017-12-28,171,171.850006103516,170.479995727539,171.080001831055,165.661407470703,16480200,169.740400390625,155.77129989624,170.600006103516,0.479995727539063,0.00281357391773951,21498200,-5018000,-0.233414890548976
9342,2017-12-29,170.520004272461,170.589996337891,169.220001220703,169.229995727539,163.869995117188,25999900,169.929800415039,155.913999862671,171.080001831055,-1.85000610351563,-0.0108136899913208,16480200,9519700,0.577644688778049
9343,2018-01-02,170.160003662109,172.300003051758,169.259994506836,172.259994506836,166.804016113281,25555900,170.255400390625,156.075349807739,169.229995727539,3.02999877929687,0.0179046200779629,25999900,-444000,-0.0170769887576491
9344,2018-01-03,172.529998779297,174.550003051758,171.960006713867,172.229995727539,166.774963378906,29517900,170.575000305176,156.229199752808,172.259994506836,-0.029998779296875,-0.000174148265723373,25555900,3962000,0.155032693037616
9345,2018-01-04,172.539993286133,173.470001220703,172.080001831055,173.029998779297,167.549621582031,22434600,170.912200317383,156.395149765015,172.229995727539,0.800003051757813,0.00464496935262893,29517900,-7083300,-0.239966257762239
9346,2018-01-05,173.440002441406,175.369995117188,173.050003051758,175,169.457214355469,23660000,171.270200195313,156.56304977417,173.029998779297,1.97000122070313,0.0113853160411559,22434600,1225400,0.0546209872250898
9347,2018-01-08,174.350006103516,175.610000610352,173.929992675781,174.350006103516,168.827819824219,20567800,171.629000244141,156.730199813843,175,-0.649993896484375,-0.00371425083705357,23660000,-3092200,-0.130693153000845
9348,2018-01-09,174.550003051758,175.059997558594,173.410003662109,174.330001831055,168.808456420898,21584000,171.96740020752,156.89864982605,174.350006103516,-0.0200042724609375,-0.000114736287700867,20567800,1016200,0.0494073260144499
9349,2018-01-10,173.160003662109,174.300003051758,173,174.289993286133,168.769714355469,23959900,172.192200012207,157.065699768066,174.330001831055,-0.040008544921875,-0.000229498907254322,21584000,2375900,0.110076908821349
9350,2018-01-11,174.589996337891,175.490005493164,174.490005493164,175.279998779297,169.728378295898,18667700,172.363399963379,157.223099746704,174.289993286133,0.990005493164063,0.00568021992828216,23959900,-5292200,-0.220877382626806
9351,2018-01-12,176.179992675781,177.360000610352,175.649993896484,177.089996337891,171.481063842773,25418100,172.524400024414,157.387949752808,175.279998779297,1.80999755859375,0.0103263211501548,18667700,6750400,0.3616085538122
9352,2018-01-16,177.899993896484,179.389999389648,176.139999389648,176.190002441406,170.609558105469,29565900,172.710400085449,157.549249801636,177.089996337891,-0.899993896484375,-0.00508212725222024,25418100,4147800,0.163182928700414
9353,2018-01-17,176.149993896484,179.25,175.070007324219,179.100006103516,173.427398681641,34386800,172.930200195312,157.726449813843,176.190002441406,2.91000366210937,0.0165162814108997,29565900,4820900,0.163056088263845
9354,2018-01-18,179.369995117188,180.100006103516,178.25,179.259994506836,173.582321166992,31193400,173.065400085449,157.904249801636,179.100006103516,0.159988403320313,0.000893290887035825,34386800,-3193400,-0.0928670303721195
9355,2018-01-19,178.610000610352,179.580001831055,177.410003662109,178.460006713867,172.807662963867,32425100,173.149600219727,158.072699813843,179.259994506836,-0.79998779296875,-0.00446272351602828,31193400,1231700,0.039485916892676
9356,2018-01-22,177.300003051758,177.779998779297,176.600006103516,177,171.393920898438,27108600,173.193400268555,158.23759979248,178.460006713867,-1.46000671386719,-0.00818114232287392,32425100,-5316500,-0.16396248585201
9357,2018-01-23,177.300003051758,179.440002441406,176.820007324219,177.039993286133,171.432632446289,32689100,173.209400024414,158.404499740601,177,0.0399932861328125,0.000225950769112027,27108600,5580500,0.205857181853729
9358,2018-01-24,177.25,177.300003051758,173.199996948242,174.220001220703,168.701950073242,51105100,173.176199951172,158.558899765015,177.039993286133,-2.81999206542969,-0.0159285594914818,32689100,18416000,0.563368217540403
9359,2018-01-25,174.509994506836,174.949996948242,170.529998779297,171.110000610352,165.690444946289,41529000,173.105,158.698599777222,174.220001220703,-3.11000061035156,-0.0178509963756216,51105100,-9576100,-0.187380515838928
9360,2018-01-26,172,172,170.059997558594,171.509994506836,166.077758789063,39143000,173.055799865723,158.847999725342,171.110000610352,0.399993896484375,0.00233764183892005,41529000,-2386000,-0.0574538274458812
9361,2018-01-29,170.160003662109,170.160003662109,167.070007324219,167.960006713867,162.640213012695,50640400,172.988200073242,158.978799743652,171.509994506836,-3.54998779296875,-0.0206984310341591,39143000,11497400,0.293728125079835
9362,2018-01-30,165.529998779297,167.369995117188,164.699996948242,166.970001220703,161.681579589844,46048200,172.946000061035,159.108399734497,167.960006713867,-0.990005493164063,-0.00589429300780286,50640400,-4592200,-0.0906825380526221
9363,2018-01-31,166.869995117188,168.440002441406,166.5,167.429992675781,162.127014160156,32478900,172.87259979248,159.236399688721,166.970001220703,0.459991455078125,0.00275493472908406,46048200,-13569300,-0.29467601339466
9364,2018-02-01,167.169998168945,168.619995117188,166.759994506836,167.779998779297,162.465911865234,47230800,172.825199890137,159.369299697876,167.429992675781,0.350006103515625,0.00209046239518984,32478900,14751900,0.454199495672575
9365,2018-02-02,166,166.800003051758,160.100006103516,160.5,155.416519165039,86593800,172.635599975586,159.468399734497,167.779998779297,-7.27999877929688,-0.0433901468128702,47230800,39363000,0.833418023831906
9366,2018-02-05,159.100006103516,163.880004882812,156,156.490005493164,151.533508300781,72738500,172.302600097656,159.538649749756,160.5,-4.00999450683594,-0.0249843894506911,86593800,-13855300,-0.160003372065898
9367,2018-02-06,154.830001831055,163.720001220703,154,163.029998779297,157.866333007813,68243800,172.063999938965,159.64244972229,156.490005493164,6.53999328613281,0.0417917634134053,72738500,-4494700,-0.0617925857695718
9368,2018-02-07,163.089996337891,163.399993896484,159.070007324219,159.539993286133,154.486877441406,51608600,171.755399780273,159.721949691772,163.029998779297,-3.49000549316406,-0.02140713684166,68243800,-16635200,-0.243761338026311
9369,2018-02-08,160.289993286133,161,155.029998779297,155.149993896484,150.235946655273,54390500,171.376599731445,159.775049667358,159.539993286133,-4.38999938964844,-0.0275166075867574,51608600,2781900,0.053903806729886
9370,2018-02-09,157.070007324219,157.889999389648,150.240005493164,156.410003662109,152.073547363281,70672600,171.043399658203,159.83869972229,155.149993896484,1.260009765625,0.00812123632093509,54390500,16282100,0.299355585993878
9371,2018-02-12,158.5,163.889999389648,157.509994506836,162.710006713867,158.198883056641,60819500,170.90799987793,159.933299789429,156.410003662109,6.30000305175781,0.0402787731235377,70672600,-9853100,-0.139418954446278
9372,2018-02-13,161.949996948242,164.75,161.649993896484,164.339996337891,159.783676147461,32549200,170.757799682617,160.036749801636,162.710006713867,1.62998962402344,0.0100177589377759,60819500,-28270300,-0.46482295974153
9373,2018-02-14,163.039993286133,167.539993286133,162.880004882813,167.369995117188,162.729675292969,40644900,170.684199523926,160.140699768066,164.339996337891,3.02999877929687,0.0184373788902068,32549200,8095700,0.248721934794096
9374,2018-02-15,169.789993286133,173.089996337891,169,172.990005493164,168.193878173828,51147200,170.747999572754,160.268099822998,167.369995117188,5.62001037597656,0.0335783625496411,40644900,10502300,0.25839158172366
9375,2018-02-16,172.360000610352,174.820007324219,171.770004272461,172.429992675781,167.649398803711,40176100,170.803799438477,160.394949798584,172.990005493164,-0.560012817382813,-0.00323725533036612,51147200,-10971100,-0.214500500516157
9376,2018-02-20,172.050003051758,174.259994506836,171.419998168945,171.850006103516,167.085479736328,33930500,170.86059967041,160.521549835205,172.429992675781,-0.579986572265625,-0.00336360608305641,40176100,-6245600,-0.15545560669154
9377,2018-02-21,172.830001831055,174.119995117188,171.009994506836,171.070007324219,166.327102661133,37471600,170.89559967041,160.632099838257,171.850006103516,-0.779998779296875,-0.00453883474887418,33930500,3541100,0.104363330926453
9378,2018-02-22,171.800003051758,173.949996948242,171.710006713867,172.5,167.71745300293,30991900,170.958199768066,160.729549865723,171.070007324219,1.42999267578125,0.00835910805259443,37471600,-6479700,-0.172922960321951
9379,2018-02-23,173.669998168945,175.649993896484,173.539993286133,175.5,170.63427734375,33812400,171.014799804688,160.837099838257,172.5,3,0.017391304347826,30991900,2820500,0.0910076503860686
9380,2018-02-26,176.350006103516,179.389999389648,176.210006713867,178.970001220703,174.008056640625,38162200,171.160199890137,160.965649871826,175.5,3.47000122070312,0.0197720867276532,33812400,4349800,0.128645112443955
9381,2018-02-27,179.100006103516,180.479995727539,178.160003662109,178.389999389648,173.44416809082,38928100,171.28259979248,161.087849884033,178.970001220703,-0.580001831054688,-0.00324077681789492,38162200,765900,0.020069597664705
9382,2018-02-28,179.259994506836,180.619995117188,178.050003051758,178.119995117188,173.181655883789,37782100,171.40059967041,161.197949829102,178.389999389648,-0.270004272460937,-0.00151356170965156,38928100,-1146000,-0.0294388886177337
9383,2018-03-01,178.539993286133,179.779998779297,172.660003662109,175,170.14811706543,48802000,171.421199645996,161.29444984436,178.119995117188,-3.1199951171875,-0.0175162542258931,37782100,11019900,0.291669864830171
9384,2018-03-02,172.800003051758,176.300003051758,172.449996948242,176.210006713867,171.324600219727,38454000,171.416999816895,161.398149871826,175,1.21000671386719,0.00691432407924109,48802000,-10348000,-0.212040490143846
9385,2018-03-05,175.210006713867,177.740005493164,174.520004272461,176.820007324219,171.917709350586,28401400,171.462600097656,161.530999908447,176.210006713867,0.610000610351563,0.00346178189154767,38454000,-10052600,-0.261418838092266
9386,2018-03-06,177.910003662109,178.25,176.130004882813,176.669998168945,171.771850585937,23788500,171.508999938965,161.651649932861,176.820007324219,-0.150009155273438,-0.000848372067977499,28401400,-4612900,-0.162418049814446
9387,2018-03-07,174.940002441406,175.850006103516,174.270004272461,175.029998779297,170.177322387695,31703500,171.509400024414,161.761499938965,176.669998168945,-1.63999938964844,-0.0092828403613846,23788500,7915000,0.332723795111083
9388,2018-03-08,175.479995727539,177.119995117188,175.070007324219,176.940002441406,172.034362792969,23774100,171.548000183105,161.876249923706,175.029998779297,1.91000366210938,0.0109124360134276,31703500,-7929400,-0.250111186462063
9389,2018-03-09,177.960006713867,180,177.389999389648,179.979995727539,174.990051269531,32185200,171.736199951172,162.007149887085,176.940002441406,3.03999328613281,0.0171809271175947,23774100,8411100,0.353792572589499
9390,2018-03-12,180.289993286133,182.389999389648,180.210006713867,181.720001220703,176.681823730469,32207100,171.958599853516,162.149049911499,179.979995727539,1.74000549316406,0.00966777161056354,32185200,21900,0.000680436971030263
9391,2018-03-13,182.589996337891,183.5,179.240005493164,179.970001220703,174.980346679688,31693500,172.136399841309,162.279549942017,181.720001220703,-1.75,-0.00963020024347561,32207100,-513600,-0.0159467943403784
9392,2018-03-14,180.320007324219,180.520004272461,177.809997558594,178.440002441406,173.492752075195,29368400,172.320599975586,162.403699951172,179.970001220703,-1.52999877929688,-0.00850141006233918,31693500,-2325100,-0.0733620458453627
9393,2018-03-15,178.5,180.240005493164,178.070007324219,178.649993896484,173.696929931641,22743800,172.448399963379,162.52859992981,178.440002441406,0.209991455078125,0.00117681827059535,29368400,-6624600,-0.225568978902494
9394,2018-03-16,178.649993896484,179.119995117188,177.619995117188,178.020004272461,173.084426879883,39404700,172.564200134277,162.654899978638,178.649993896484,-0.629989624023438,-0.00352639040328473,22743800,16660900,0.73254689190021
9395,2018-03-19,177.320007324219,177.470001220703,173.660003662109,175.300003051758,170.439834594727,33446800,172.609600219727,162.765500030518,178.020004272461,-2.72000122070312,-0.0152791886047825,39404700,-5957900,-0.151197699766779
9396,2018-03-20,175.240005493164,176.800003051758,174.940002441406,175.240005493164,170.381500244141,19649400,172.61440032959,162.864450073242,175.300003051758,-0.05999755859375,-0.000342256460634682,33446800,-13797400,-0.41251778944473
9397,2018-03-21,175.039993286133,175.089996337891,171.259994506836,171.270004272461,166.521560668945,37054900,172.552800292969,162.951150131226,175.240005493164,-3.97000122070312,-0.0226546513139546,19649400,17405500,0.885803128848718
9398,2018-03-22,170,172.679992675781,168.600006103516,168.850006103516,164.168655395508,41490800,172.443200378418,163.023150177002,171.270004272461,-2.41999816894531,-0.0141297256295709,37054900,4435900,0.11971156311311
9399,2018-03-23,168.389999389648,169.919998168945,164.940002441406,164.940002441406,160.367034912109,41028800,172.256200561523,163.071000213623,168.850006103516,-3.91000366210937,-0.0231566687638276,41490800,-462000,-0.0111349986020998
9400,2018-03-26,168.070007324219,173.100006103516,166.440002441406,172.770004272461,167.979995727539,37541200,172.206000671387,163.15990020752,164.940002441406,7.83000183105469,0.0474718183288267,41028800,-3487600,-0.0850037047147369
9401,2018-03-27,173.679992675781,175.149993896484,166.919998168945,168.339996337891,163.672775268555,40922600,172.031000671387,163.256700210571,172.770004272461,-4.43000793457031,-0.0256410709325684,37541200,3381400,0.0900717078836053
9402,2018-03-28,167.25,170.020004272461,165.190002441406,166.479995727539,161.864364624023,41668500,171.836800537109,163.362000198364,168.339996337891,-1.86000061035156,-0.0110490712297402,40922600,745900,0.0182270921202465
9403,2018-03-29,167.809997558594,171.75,166.899993896484,167.779998779297,163.128311157227,38398500,171.610400390625,163.467950210571,166.479995727539,1.30000305175781,0.0078087643267688,41668500,-3270000,-0.0784765470319306
9404,2018-04-02,166.639999389648,168.940002441406,164.470001220703,166.679992675781,162.058807373047,37586800,171.358800354004,163.57555015564,167.779998779297,-1.10000610351563,-0.00655624097937091,38398500,-811700,-0.0211388465695275
9405,2018-04-03,167.639999389648,168.75,164.880004882813,168.389999389648,163.721420288086,30278000,171.15740020752,163.696050186157,166.679992675781,1.71000671386719,0.010259219996448,37586800,-7308800,-0.194451243521662
9406,2018-04-04,164.880004882813,172.009994506836,164.770004272461,171.610000610352,166.852142333984,34605500,171.049600219727,163.842750167847,168.389999389648,3.22000122070312,0.0191222829881492,30278000,4327500,0.142925556509677
9407,2018-04-05,172.580001831055,174.229995727539,172.080001831055,172.800003051758,168.009124755859,26933200,170.964800415039,163.975050201416,171.610000610352,1.19000244140625,0.00693434203819043,34605500,-7672300,-0.221707532039705
9408,2018-04-06,170.970001220703,172.479995727539,168.199996948242,168.380004882813,163.711700439453,35005300,170.848000488281,164.091900253296,172.800003051758,-4.41999816894531,-0.0255786926555864,26933200,8072100,0.299708166872113
9409,2018-04-09,169.880004882813,173.089996337891,169.850006103516,170.050003051758,165.335388183594,29017700,170.826800537109,164.212800292969,168.380004882813,1.66999816894531,0.00991803136071634,35005300,-5987600,-0.171048384101836
9410,2018-04-10,173,174,171.529998779297,173.25,168.446670532227,28408600,170.861600646973,164.350900268555,170.050003051758,3.19999694824219,0.0188179764234888,29017700,-609100,-0.0209906367492944
9411,2018-04-11,172.229995727539,173.919998168945,171.699996948242,172.440002441406,167.659118652344,22431600,170.951200561523,164.481700286865,173.25,-0.80999755859375,-0.00467531058351367,28408600,-5977000,-0.210394035608935
9412,2018-04-12,173.410003662109,175,173.039993286133,174.139999389648,169.311996459961,22889300,171.094600524902,164.623300247192,172.440002441406,1.69999694824219,0.00985848367068898,22431600,457700,0.0204042511457052
9413,2018-04-13,174.779998779297,175.839996337891,173.850006103516,174.729995727539,169.885604858398,25124300,171.240600585938,164.778300247192,174.139999389648,0.589996337890625,0.00338805753967231,22889300,2235000,0.0976438772701655
9414,2018-04-16,175.029998779297,176.190002441406,174.830001831055,175.820007324219,170.945419311523,21578400,171.401400756836,164.928250274658,174.729995727539,1.09001159667969,0.00623826259561855,25124300,-3545900,-0.14113428035806
9415,2018-04-17,176.490005493164,178.940002441406,176.410003662109,178.240005493164,173.298309326172,26605400,171.756200866699,165.101050338745,175.820007324219,2.41999816894531,0.013764065909079,21578400,5027000,0.232964445927409
9416,2018-04-18,177.809997558594,178.820007324219,176.880004882813,177.839996337891,172.909393310547,20754500,172.183200683594,165.270150299072,178.240005493164,-0.400009155273438,-0.00224421646625672,26605400,-5850900,-0.219914002420561
9417,2018-04-19,173.759994506836,175.389999389648,172.660003662109,172.800003051758,168.009124755859,34808800,172.378600769043,165.416650314331,177.839996337891,-5.03999328613281,-0.028340043802953,20754500,14054300,0.677168806764798
9418,2018-04-20,170.600006103516,171.220001220703,165.429992675781,165.720001220703,161.125411987305,65491100,172.502200927734,165.524800338745,172.800003051758,-7.08000183105469,-0.0409722320950079,34808800,30682300,0.881452391349314
9419,2018-04-23,166.830001831055,166.919998168945,164.089996337891,165.240005493164,160.658752441406,36515500,172.704001159668,165.637350387573,165.720001220703,-0.479995727539063,-0.00289642604394991,65491100,-28975600,-0.442435689734941
9420,2018-04-24,165.669998168945,166.330001831055,161.220001220703,162.940002441406,158.422515869141,33692000,172.834601135254,165.731150436401,165.240005493164,-2.30000305175781,-0.0139191659119919,36515500,-2823500,-0.0773233284495625
9421,2018-04-25,162.619995117188,165.419998168945,162.410003662109,163.649993896484,159.112808227539,28382100,172.853400878906,165.824100418091,162.940002441406,0.709991455078125,0.00435737967619976,33692000,-5309900,-0.157601210969963
9422,2018-04-26,164.119995117188,165.729995727539,163.369995117188,164.220001220703,159.667007446289,27963000,172.851000976563,165.917550430298,163.649993896484,0.57000732421875,0.00348308796503405,28382100,-419100,-0.0147663492130603
9423,2018-04-27,164,164.330001831055,160.630004882813,162.320007324219,157.819686889648,35655800,172.750001220703,166.000450439453,164.220001220703,-1.89999389648438,-0.0115698080767329,27963000,7692800,0.275106390587562
9424,2018-04-30,162.130004882813,167.259994506836,161.839996337891,165.259994506836,160.678176879883,42427400,172.595401000977,166.087900390625,162.320007324219,2.93998718261719,0.0181122908449902,35655800,6771600,0.189915806124109
9425,2018-05-01,166.410003662109,169.199996948242,165.270004272461,169.100006103516,164.411697387695,53569400,172.528801269531,166.188200454712,165.259994506836,3.84001159667969,0.0232361837366566,42427400,11142000,0.262613311209266
9426,2018-05-02,175.229995727539,177.75,173.800003051758,176.570007324219,171.674621582031,66539400,172.623201293945,166.32325050354,169.100006103516,7.47000122070313,0.0441750499768185,53569400,12970000,0.242115834786277
9427,2018-05-03,175.880004882813,177.5,174.440002441406,176.889999389648,171.985733032227,34068200,172.739601135254,166.457300491333,176.570007324219,0.319992065429687,0.00181226738492524,66539400,-32471200,-0.487999591219638
9428,2018-05-04,178.25,184.25,178.169998168945,183.830001831055,178.733322143555,56201300,172.966201171875,166.621350479126,176.889999389648,6.94000244140625,0.0392334358378226,34068200,22133100,0.649670367087196
9429,2018-05-07,185.179992675781,187.669998168945,184.75,185.160003662109,180.026458740234,42451400,173.159401245117,166.795450515747,183.830001831055,1.33000183105466,0.00723495521844675,56201300,-13749900,-0.244654483081352
9430,2018-05-08,184.990005493164,186.220001220703,183.669998168945,186.050003051758,180.89176940918,28402800,173.301001281738,166.974350509644,185.160003662109,0.889999389648466,0.00480665031349092,42451400,-14048600,-0.330933726567322
9431,2018-05-09,186.550003051758,187.399993896484,185.220001220703,187.360000610352,182.165451049805,23211200,173.480401306152,167.150700531006,186.050003051758,1.30999755859378,0.0070411047412311,28402800,-5191600,-0.182784795865196
9432,2018-05-10,187.740005493164,190.369995117188,187.649993896484,190.039993286133,184.771148681641,27989300,173.718801269531,167.337200469971,187.360000610352,2.67999267578122,0.0143039745252496,23211200,4778100,0.205853208795754
